Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1971,1971,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1972,1972,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1973,1973,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1974,1974,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1975,1975,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1976,1976,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1977,1977,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1978,1978,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1979,1979,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1980,1980,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1981,1981,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1982,1982,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1983,1983,1000 US$,24,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1984,1984,1000 US$,83,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1985,1985,1000 US$,49,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1986,1986,1000 US$,71,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1987,1987,1000 US$,42,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1988,1988,1000 US$,107,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1989,1989,1000 US$,16,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1990,1990,1000 US$,87,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1991,1991,1000 US$,152,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1992,1992,1000 US$,1493,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1993,1993,1000 US$,902,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1994,1994,1000 US$,955,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1995,1995,1000 US$,1660,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1996,1996,1000 US$,2064,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1997,1997,1000 US$,1477,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1998,1998,1000 US$,1314,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",1999,1999,1000 US$,1470,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2000,2000,1000 US$,1533,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2001,2001,1000 US$,1510,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2002,2002,1000 US$,1905,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2003,2003,1000 US$,2281,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2004,2004,1000 US$,1398,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2005,2005,1000 US$,875,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2006,2006,1000 US$,529,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2007,2007,1000 US$,107,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2008,2008,1000 US$,11,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2009,2009,1000 US$,116,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2010,2010,1000 US$,843,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2011,2011,1000 US$,746,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2012,2012,1000 US$,1241,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2013,2013,1000 US$,1172,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2014,2014,1000 US$,872,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2015,2015,1000 US$,684,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2016,2016,1000 US$,1155,,Official data
